request_id,date_received,source_account,request_type,summary,raw_notes,rough_effort_hint
TRQ-1042,"Jun 3, 2026",Meridian Foods,punchout integration issue,Meridian's ProcureFlow punchout session is throwing a checkout error for about 15% of orders since Monday's catalog push. Their procurement team is escalating because it's blocking POs from going out before month-end close.,Meridian is a top-5 account by GMV. Their IT contact says the error correlates with SKUs added in the last sync. Support ticket volume from their buyers is climbing. Could be a punchout field-mapping mismatch introduced by our last release.,"unclear, needs discovery"
TRQ-1043,"Jun 4, 2026",Northwind Distributors,ERP sync/rate-limit escalation,Northwind's ERP integration is creating duplicate orders again âthe third time this quarter. Their ops manager says it's causing double-shipments and manual credit memos.,"Root cause suspected to be retry logic firing when Northwind's ERP times out during their morning batch window. Account tier: mid-market, moderate GMV but high complaint volume relative to size.",1-2 sprints
TRQ-1044,"Jun 5, 2026",Cobalt Hospitality,catalog/tag-mapping dispute,Cobalt's category buyer is disputing how 40+ SKUs are tagged between their internal commodity codes and our supplier catalog tags â saying it's causing wrong items to surface in reorder suggestions.,"Low urgency tone in the email but this affects reorder accuracy, which ties to a churn-risk signal CS flagged last month. Cobalt is mid-size but growing fast.",small
TRQ-1045,"Jun 6, 2026",Internal,proactive initiative,Proposal to build a self-service punchout setup wizard so mid-market accounts can configure ProcureFlow/VendorGate connections without engineering support.,Ties to self-service punchout adoption metric (currently ~12% of eligible accounts self-configure vs. 40% target). Would reduce integration-issue ticket volume long-term but has no vocal advocate pushing it right now.,"large, multi-quarter"
TRQ-1046,"Jun 9, 2026",Palisade Resorts Group,standing order / lead-time bug,"Palisade's weekly standing orders for their banquet division are being scheduled a day late, causing missed delivery windows for events.","Suspect the lead-time consolidation logic isn't picking the longest lead-time item correctly when an order spans multiple suppliers. Palisade is enterprise tier, high visibility, exec has been CC'd on the thread.",1-2 sprints
TRQ-1047,"Jun 11, 2026",Oakmere Culinary Supply,inventory sync issue,Oakmere says the inventory status shown to their buyers doesn't match what's actually available â buyers are ordering out-of-stock items and getting cancellation notices later.,"Oakmere is a small regional account, low GMV, but this could be a broader sync-flakiness pattern worth checking against other accounts.","unclear, needs discovery"
TRQ-1048,"Jun 12, 2026",Meridian Foods,feature request,"Meridian is asking if we can add a bulk CSV upload option for one-off orders outside their punchout flow, for cases when their procurement system is down.","Framed as a workaround request, not urgent, but has come up twice before informally from other large accounts.",small
TRQ-1049,"Jun 16, 2026",Northwind Distributors,ERP sync/rate-limit escalation,"Northwind again â this time their SFTP-based ERP feed is getting rate-limited on our side during month-end, causing a backlog of unprocessed orders.","Different root cause than the duplicate-order issue (TRQ-1043) â€” looks like our own rate-limit config, not their retry behavior. Their ops manager is threatening to escalate to their VP.",small
TRQ-1050,"Jun 18, 2026",Cobalt Hospitality,punchout integration issue,Cobalt's VendorGate punchout returns a blank cart on a subset of browsers (reported: Safari on iPad). Their field ops team uses iPads on the floor.,Subject line says 'URGENT â€” buyers can't order' but actual order volume affected is under 2% per our own analytics. Cobalt tier: mid-size.,small
TRQ-1051,"Jun 19, 2026",Internal,proactive initiative,"Proposal to build an expansion-revenue dashboard flagging accounts eligible for tier upgrades based on order volume trends, to support proactive account growth conversations.",Tied to expansion revenue from existing accounts metric. Sales has asked for this informally but no formal request exists yet.,1-2 sprints
TRQ-1052,"Jun 23, 2026",Palisade Resorts Group,catalog/tag-mapping dispute,"Palisade's culinary team flagged that seasonal produce items are mapped under the wrong commodity tags, causing them to be excluded from a promotional filter they rely on.","Enterprise tier; second tag-mapping complaint from them in 60 days. Possibly a systemic tagging issue across seasonal SKUs, not account-specific.","unclear, needs discovery"
